# Start Time; Stop Time; Value in kWh/15 minutes
0.000000000000000000e+00;1.500000000000000000e+01;3.965467400000000087e-02
1.500000000000000000e+01;3.000000000000000000e+01;3.763150099999999776e-02
3.000000000000000000e+01;4.500000000000000000e+01;3.910045399999999283e-02
4.500000000000000000e+01;6.000000000000000000e+01;3.836764499999999883e-02
6.000000000000000000e+01;7.500000000000000000e+01;3.847284200000000015e-02
7.500000000000000000e+01;9.000000000000000000e+01;4.441329899999999636e-02
9.000000000000000000e+01;1.050000000000000000e+02;3.701883499999999994e-02
1.050000000000000000e+02;1.200000000000000000e+02;3.705106400000000161e-02
1.200000000000000000e+02;1.350000000000000000e+02;4.192147400000000024e-02
1.350000000000000000e+02;1.500000000000000000e+02;2.933360599999999124e-02
1.500000000000000000e+02;1.650000000000000000e+02;5.285498999999999059e-02
1.650000000000000000e+02;1.800000000000000000e+02;2.957411199999998921e-02
1.800000000000000000e+02;1.950000000000000000e+02;4.798686299999999766e-02
1.950000000000000000e+02;2.100000000000000000e+02;3.684268200000000160e-02
2.100000000000000000e+02;2.250000000000000000e+02;3.911667399999999711e-02
2.250000000000000000e+02;2.400000000000000000e+02;4.644738100000000286e-02
2.400000000000000000e+02;2.550000000000000000e+02;7.227836499999999720e-02
2.550000000000000000e+02;2.700000000000000000e+02;9.441912600000001987e-02
2.700000000000000000e+02;2.850000000000000000e+02;8.058635699999999735e-02
2.850000000000000000e+02;3.000000000000000000e+02;9.404853700000000150e-02
3.000000000000000000e+02;3.150000000000000000e+02;1.190003990000000067e-01
3.150000000000000000e+02;3.300000000000000000e+02;3.915536559999999167e-01
3.300000000000000000e+02;3.450000000000000000e+02;2.559068140000000380e-01
3.450000000000000000e+02;3.600000000000000000e+02;2.474582130000000380e-01
3.600000000000000000e+02;3.750000000000000000e+02;8.319439880000000231e-01
3.750000000000000000e+02;3.900000000000000000e+02;3.979200329999999508e-01
3.900000000000000000e+02;4.050000000000000000e+02;6.131193929999999570e-01
4.050000000000000000e+02;4.200000000000000000e+02;1.410436499999999926e-01
4.200000000000000000e+02;4.350000000000000000e+02;2.168409669999999956e-01
4.350000000000000000e+02;4.500000000000000000e+02;6.852423500000000001e-01
4.500000000000000000e+02;4.650000000000000000e+02;9.589493299999998777e-02
4.650000000000000000e+02;4.800000000000000000e+02;3.039358420000000116e-01
4.800000000000000000e+02;4.950000000000000000e+02;3.709609260000000241e-01
4.950000000000000000e+02;5.100000000000000000e+02;7.562203649999998945e-01
5.100000000000000000e+02;5.250000000000000000e+02;5.463553780000000026e-01
5.250000000000000000e+02;5.400000000000000000e+02;6.789927399999999558e-02
5.400000000000000000e+02;5.550000000000000000e+02;9.042452299999999277e-02
5.550000000000000000e+02;5.700000000000000000e+02;3.156330799999999825e-02
5.700000000000000000e+02;5.850000000000000000e+02;4.536858299999999705e-02
5.850000000000000000e+02;6.000000000000000000e+02;6.282907299999999917e-02
6.000000000000000000e+02;6.150000000000000000e+02;3.939485900000000429e-02
6.150000000000000000e+02;6.300000000000000000e+02;7.402494299999999583e-02
6.300000000000000000e+02;6.450000000000000000e+02;4.530004499999999712e-02
6.450000000000000000e+02;6.600000000000000000e+02;1.385764610000000119e-01
6.600000000000000000e+02;6.750000000000000000e+02;3.236602560000000350e-01
6.750000000000000000e+02;6.900000000000000000e+02;7.837370630000000116e-01
6.900000000000000000e+02;7.050000000000000000e+02;8.885168949999999732e-01
7.050000000000000000e+02;7.200000000000000000e+02;5.334235499999999686e-01
7.200000000000000000e+02;7.350000000000000000e+02;2.942537689999999984e-01
7.350000000000000000e+02;7.500000000000000000e+02;4.716798529999999823e-01
7.500000000000000000e+02;7.650000000000000000e+02;7.595349049999999824e-01
7.650000000000000000e+02;7.800000000000000000e+02;2.213282450000000068e-01
7.800000000000000000e+02;7.950000000000000000e+02;2.846458300000000163e-02
7.950000000000000000e+02;8.100000000000000000e+02;1.299029989999999912e-01
8.100000000000000000e+02;8.250000000000000000e+02;1.512140140000000077e-01
8.250000000000000000e+02;8.400000000000000000e+02;1.452766159999999973e-01
8.400000000000000000e+02;8.550000000000000000e+02;1.758905680000000249e-01
8.550000000000000000e+02;8.700000000000000000e+02;1.545496330000000196e-01
8.700000000000000000e+02;8.850000000000000000e+02;1.810981180000000024e-01
8.850000000000000000e+02;9.000000000000000000e+02;1.459902000000000144e-01
9.000000000000000000e+02;9.150000000000000000e+02;6.395014200000000149e-02
9.150000000000000000e+02;9.300000000000000000e+02;1.422484729999999864e-01
9.300000000000000000e+02;9.450000000000000000e+02;1.143996819999999887e-01
9.450000000000000000e+02;9.600000000000000000e+02;1.344608269999999772e-01
9.600000000000000000e+02;9.750000000000000000e+02;1.020479150000000029e-01
9.750000000000000000e+02;9.900000000000000000e+02;4.813288300000000824e-02
9.900000000000000000e+02;1.005000000000000000e+03;1.349338419999999705e-01
1.005000000000000000e+03;1.020000000000000000e+03;1.550868709999999873e-01
1.020000000000000000e+03;1.035000000000000000e+03;1.837919099999999750e-01
1.035000000000000000e+03;1.050000000000000000e+03;1.447178890000000162e-01
1.050000000000000000e+03;1.065000000000000000e+03;1.661329029999999984e-01
1.065000000000000000e+03;1.080000000000000000e+03;1.764292189999999982e-01
1.080000000000000000e+03;1.095000000000000000e+03;5.369746560000000501e-01
1.095000000000000000e+03;1.110000000000000000e+03;2.937096640000000369e-01
1.110000000000000000e+03;1.125000000000000000e+03;3.992308650000000458e-01
1.125000000000000000e+03;1.140000000000000000e+03;4.683907660000000139e-01
1.140000000000000000e+03;1.155000000000000000e+03;4.361134439999999612e-01
1.155000000000000000e+03;1.170000000000000000e+03;2.873944130000000152e-01
1.170000000000000000e+03;1.185000000000000000e+03;2.907271490000000180e-01
1.185000000000000000e+03;1.200000000000000000e+03;3.863450770000000367e-01
1.200000000000000000e+03;1.215000000000000000e+03;4.755300929999999870e-01
1.215000000000000000e+03;1.230000000000000000e+03;2.853589229999999866e-01
1.230000000000000000e+03;1.245000000000000000e+03;2.602768799999999882e-01
1.245000000000000000e+03;1.260000000000000000e+03;2.336174809999999880e-01
1.260000000000000000e+03;1.275000000000000000e+03;2.180906599999999917e-01
1.275000000000000000e+03;1.290000000000000000e+03;2.132223839999999870e-01
